,PCA1,PCA2
HCE-group1,-1001.4714328662743,866.7314651818212
HCE-group2,-835.7544389257145,527.7880758381841
HCE-group3,-895.5211016037789,650.1361460605532
iPS-1,1194.8947496568403,146.6625061070932
iPS-2,1586.3495117820632,337.63414947683157
iPS-3,1418.1029188949046,257.232478550961
CECSi -1,-318.79201989078484,-527.3939629348872
CECSi -2,-301.73787697392686,-563.708506623979
CECSi -3,-308.1068082682558,-549.9139098108687
NCC-1,-270.96151682584576,-573.0097760369041
NCC-2,-267.00198497922645,-572.1586658088065
