,PC1,PC2
HCE-group1,-995.529683816629,919.76771294895
HCE-group2,-852.1139901496006,576.1237048894827
HCE-group3,-902.9362591469319,691.3280382784249
iPS-1,1314.7534045150392,113.28515397290865
iPS-2,1740.9093100164791,289.6349311375646
iPS-3,1556.935845553504,215.09984717921222
CECSi -1,-398.3835286679993,-526.3898981225379
CECSi -2,-383.3796616426399,-564.6104026312205
CECSi -3,-385.1155192189005,-552.7466050178966
NCC-1,-349.4557273725834,-581.0192115990832
NCC-2,-345.6841900697366,-580.4732710358068
